#####upgrade_62
###Escalate: Firebat/Cyprian
ore_cost: 150
ore_cost_factor: 0
gas_cost: 150
gas_cost_factor: 0
time_cost: 1500
time_cost_factor: 0
reqindex: 65535
icon: 92
label: 1563
race: 0
max_repeats: 2
broodwar: 0
###
#####upgrade_63
###Plasteel Servos
ore_cost: 150
ore_cost_factor: 0
gas_cost: 150
gas_cost_factor: 0
time_cost: 2496
time_cost_factor: 0
reqindex: 65535
icon: 307
label: 451
race: 0
max_repeats: 1
broodwar: 0
###
#####upgrade_64
###Odysseus Reactor
ore_cost: 150
ore_cost_factor: 0
gas_cost: 150
gas_cost_factor: 0
time_cost: 2496
time_cost_factor: 0
reqindex: 65535
icon: 107
label: 1566
race: 0
max_repeats: 1
broodwar: 0
###
#####upgrade_65
###Capacitors
ore_cost: 150
ore_cost_factor: 0
gas_cost: 150
gas_cost_factor: 0
time_cost: 2496
time_cost_factor: 0
reqindex: 65535
icon: 332
label: 1567
race: 0
max_repeats: 1
broodwar: 0
###
#####upgrade_66
###Reverse Thrust
ore_cost: 150
ore_cost_factor: 0
gas_cost: 150
gas_cost_factor: 0
time_cost: 2496
time_cost_factor: 0
reqindex: 65535
icon: 244
label: 1568
race: 0
max_repeats: 1
broodwar: 0
###
#####upgrade_67
###Escalate: Azazel
ore_cost: 150
ore_cost_factor: 0
gas_cost: 150
gas_cost_factor: 0
time_cost: 1500
time_cost_factor: 0
reqindex: 65535
icon: 325
label: 1569
race: 0
max_repeats: 2
broodwar: 0
###
#####upgrade_68
###Restorative Matrices
ore_cost: 150
ore_cost_factor: 0
gas_cost: 150
gas_cost_factor: 0
time_cost: 2496
time_cost_factor: 0
reqindex: 65535
icon: 366
label: 1571
race: 0
max_repeats: 1
broodwar: 0
###
#####upgrade_69
###Achernus Reactor
ore_cost: 150
ore_cost_factor: 0
gas_cost: 150
gas_cost_factor: 0
time_cost: 2496
time_cost_factor: 0
reqindex: 65535
icon: 248
label: 1572
race: 0
max_repeats: 1
broodwar: 0
###
#####upgrade_70
###Umojan Batteries
ore_cost: 150
ore_cost_factor: 0
gas_cost: 150
gas_cost_factor: 0
time_cost: 2496
time_cost_factor: 0
reqindex: 65535
icon: 322
label: 1573
